,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,EVENT
54,T21,Kurt Kitayama,4,57.14,32,56,Wells Fargo Championship
55,T30,Peter Malnati,4,57.14,32,56,Wells Fargo Championship
56,,Mackenzie Hughes,4,55.36,31,56,Wells Fargo Championship
57,T62,Stephan Jaeger,4,55.36,31,56,Wells Fargo Championship
58,,Dylan Frittelli,4,53.57,30,56,Wells Fargo Championship
59,,Camilo Villegas,4,53.57,30,56,Wells Fargo Championship
60,,Kevin Chappell,4,51.79,29,56,Wells Fargo Championship
61,T59,Callum Tarren,4,51.79,29,56,Wells Fargo Championship
62,T30,Turk Pettit,4,50.0,28,56,Wells Fargo Championship
63,,Matthew Wolff,4,50.0,28,56,Wells Fargo Championship
64,,Jhonattan Vegas,4,46.43,26,56,Wells Fargo Championship
