,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,EVENT
12,T1,Kurt Kitayama,4,66.67,2,3,E,Wells Fargo Championship
13,T30,Kelly Kraft,4,66.67,6,9,+3.00,Wells Fargo Championship
14,,Rory McIlroy,4,66.67,2,3,E,Wells Fargo Championship
15,,Adam Schenk,4,66.67,4,6,+2.00,Wells Fargo Championship
16,,Matthew Wolff,4,66.67,4,6,+3.00,Wells Fargo Championship
17,,Corey Conners,4,62.5,5,8,+3.00,Wells Fargo Championship
18,T33,Michael Gligic,4,62.5,5,8,+3.00,Wells Fargo Championship
19,,Troy Merritt,4,62.5,5,8,+3.00,Wells Fargo Championship
20,,Matthew NeSmith,4,62.5,5,8,+3.00,Wells Fargo Championship
21,,Ben Martin,4,60.0,3,5,+1.00,Wells Fargo Championship
22,,Nick Taylor,4,60.0,3,5,+3.00,Wells Fargo Championship
23,,Si Woo Kim,4,55.56,5,9,+4.00,Wells Fargo Championship
24,T50,Turk Pettit,4,55.56,5,9,+3.00,Wells Fargo Championship
25,,Tyrrell Hatton,4,50.0,2,4,+1.00,Wells Fargo Championship
26,,Russell Knox,4,50.0,3,6,+2.00,Wells Fargo Championship
27,,Matt Kuchar,4,50.0,2,4,+4.00,Wells Fargo Championship
28,,Martin Laird,4,50.0,3,6,+3.00,Wells Fargo Championship
29,,David Lingmerth,4,50.0,5,10,+7.00,Wells Fargo Championship
30,T33,Justin Lower,4,50.0,4,8,+2.00,Wells Fargo Championship
31,23,C.T. Pan,4,50.0,4,8,+2.00,Wells Fargo Championship
32,T33,Scott Piercy,4,50.0,5,10,+5.00,Wells Fargo Championship
33,,J.T. Poston,4,50.0,3,6,+4.00,Wells Fargo Championship
34,,Chad Ramey,4,50.0,3,6,+2.00,Wells Fargo Championship
35,T1,Chez Reavie,4,50.0,2,4,+3.00,Wells Fargo Championship
36,T58,Austin Smotherman,4,50.0,4,8,+3.00,Wells Fargo Championship
37,,Dawie van der Walt,4,50.0,3,6,+4.00,Wells Fargo Championship
38,,Camilo Villegas,4,50.0,2,4,+2.00,Wells Fargo Championship
39,,Cameron Young,4,50.0,4,8,+3.00,Wells Fargo Championship
40,,Jason Day,4,44.44,4,9,+4.00,Wells Fargo Championship
41,T1,Hank Lebioda,4,44.44,4,9,+3.00,Wells Fargo Championship
42,,Kevin Chappell,4,42.86,3,7,+5.00,Wells Fargo Championship
43,,Luke Donald,4,42.86,3,7,+4.00,Wells Fargo Championship
44,T30,Lanto Griffin,4,42.86,3,7,+5.00,Wells Fargo Championship
45,T55,Abraham Ancer,4,40.0,2,5,+3.00,Wells Fargo Championship
46,,Dylan Frittelli,4,40.0,4,10,+4.00,Wells Fargo Championship
47,T33,Stephan Jaeger,4,40.0,2,5,+4.00,Wells Fargo Championship
48,,Brendan Steele,4,40.0,2,5,+3.00,Wells Fargo Championship
49,,Max Homa,4,37.5,3,8,+4.00,Wells Fargo Championship
50,,Henrik Norlander,4,37.5,3,8,+8.00,Wells Fargo Championship
51,,Stewart Cink,4,33.33,1,3,+3.00,Wells Fargo Championship
52,,Sergio Garcia,4,33.33,3,9,+5.00,Wells Fargo Championship
53,,Mackenzie Hughes,4,33.33,3,9,+4.00,Wells Fargo Championship
54,67,Ben Kohles,4,33.33,3,9,+7.00,Wells Fargo Championship
55,,K.H. Lee,4,33.33,1,3,+2.00,Wells Fargo Championship
56,,Taylor Moore,4,33.33,4,12,+7.00,Wells Fargo Championship
57,,Chase Seiffert,4,33.33,3,9,+7.00,Wells Fargo Championship
58,,Jhonattan Vegas,4,28.57,2,7,+2.00,Wells Fargo Championship
59,13,Callum Tarren,4,25.0,1,4,+4.00,Wells Fargo Championship
60,,Michael Thompson,4,25.0,1,4,+2.00,Wells Fargo Championship
61,,Paul Barjon,4,18.18,2,11,+10.00,Wells Fargo Championship
62,,Joel Dahmen,4,11.11,1,9,+9.00,Wells Fargo Championship
63,,Russell Henley,4,11.11,1,9,+7.00,Wells Fargo Championship
64,,Dylan Wu,4,0.0,0,4,+5.00,Wells Fargo Championship
