,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,EVENT
43,,Camilo Villegas,4,51.72,15,29,Wells Fargo Championship
44,72,Ben Kohles,4,51.52,17,33,Wells Fargo Championship
45,,Martin Laird,4,50.0,14,28,Wells Fargo Championship
46,T13,Hank Lebioda,4,50.0,14,28,Wells Fargo Championship
47,,Henrik Norlander,4,50.0,17,34,Wells Fargo Championship
48,T31,Scott Piercy,4,50.0,17,34,Wells Fargo Championship
49,,Jhonattan Vegas,4,50.0,13,26,Wells Fargo Championship
50,,Kevin Chappell,4,48.48,16,33,Wells Fargo Championship
51,,Dylan Frittelli,4,48.28,14,29,Wells Fargo Championship
52,,Russell Knox,4,47.83,11,23,Wells Fargo Championship
53,T27,Justin Lower,4,46.67,14,30,Wells Fargo Championship
54,,Rory Sabbatini,4,45.45,15,33,Wells Fargo Championship
55,,Chase Seiffert,4,44.83,13,29,Wells Fargo Championship
56,,Stewart Cink,4,44.44,12,27,Wells Fargo Championship
57,,Joel Dahmen,4,44.44,12,27,Wells Fargo Championship
58,,Russell Henley,4,44.0,11,25,Wells Fargo Championship
59,,Rory McIlroy,4,43.75,7,16,Wells Fargo Championship
60,,Dylan Wu,4,43.75,14,32,Wells Fargo Championship
61,,Michael Thompson,4,43.33,13,30,Wells Fargo Championship
62,,Paul Barjon,4,41.38,12,29,Wells Fargo Championship
63,,Taylor Moore,4,39.39,13,33,Wells Fargo Championship
64,,Tyrrell Hatton,4,36.67,11,30,Wells Fargo Championship
