,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS,EVENT
38,T60,Austin Smotherman,4,28.75,115,4,28,Wells Fargo Championship
39,,Jhonattan Vegas,4,28.75,115,4,26,Wells Fargo Championship
40,T27,Kurt Kitayama,4,29.0,116,4,27,Wells Fargo Championship
41,,Matthew NeSmith,4,29.0,116,4,27,Wells Fargo Championship
42,,Dylan Frittelli,4,29.25,117,4,24,Wells Fargo Championship
43,,Tyrrell Hatton,4,29.25,117,4,27,Wells Fargo Championship
44,,Dawie van der Walt,4,29.25,117,4,27,Wells Fargo Championship
45,,Brian Harman,4,29.5,118,4,27,Wells Fargo Championship
46,,Ben Martin,4,29.5,118,4,26,Wells Fargo Championship
47,,Brendan Steele,4,29.5,118,4,28,Wells Fargo Championship
48,T45,Abraham Ancer,4,29.75,119,4,27,Wells Fargo Championship
49,,Russell Henley,4,29.75,119,4,27,Wells Fargo Championship
50,,Si Woo Kim,4,29.75,119,4,27,Wells Fargo Championship
51,3,Kelly Kraft,4,29.75,119,4,28,Wells Fargo Championship
52,T7,Hank Lebioda,4,29.75,119,4,28,Wells Fargo Championship
53,,Dylan Wu,4,29.75,119,4,28,Wells Fargo Championship
54,,Paul Barjon,4,30.0,120,4,28,Wells Fargo Championship
55,,Rory McIlroy,4,30.0,120,4,28,Wells Fargo Championship
56,T27,C.T. Pan,4,30.0,120,4,27,Wells Fargo Championship
57,,Chase Seiffert,4,30.0,120,4,25,Wells Fargo Championship
58,,Russell Knox,4,30.25,121,4,28,Wells Fargo Championship
59,,Luke List,4,30.25,121,4,27,Wells Fargo Championship
60,,Joel Dahmen,4,30.5,122,4,27,Wells Fargo Championship
61,,Camilo Villegas,4,30.5,122,4,29,Wells Fargo Championship
62,,Martin Laird,4,30.75,123,4,29,Wells Fargo Championship
63,,Taylor Moore,4,30.75,123,4,28,Wells Fargo Championship
64,,Michael Thompson,4,31.0,124,4,28,Wells Fargo Championship
