,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,EVENT
52,,Joel Dahmen,4,266.9,2135,8,Wells Fargo Championship
53,,Luke Donald,4,266.9,2135,8,Wells Fargo Championship
54,,Michael Thompson,4,266.6,2133,8,Wells Fargo Championship
55,T22,Anirban Lahiri,4,266.5,2132,8,Wells Fargo Championship
56,,Matt Kuchar,4,265.8,2126,8,Wells Fargo Championship
57,,Ben Martin,4,265.8,2126,8,Wells Fargo Championship
58,70,Ben Kohles,4,265.3,2122,8,Wells Fargo Championship
59,T32,Abraham Ancer,4,265.1,2121,8,Wells Fargo Championship
60,69,Chez Reavie,4,264.6,2117,8,Wells Fargo Championship
61,,Rory Sabbatini,4,263.5,2108,8,Wells Fargo Championship
62,,Chase Seiffert,4,262.1,2097,8,Wells Fargo Championship
63,,Ryan Armour,4,260.5,2084,8,Wells Fargo Championship
64,,David Lingmerth,4,249.0,1992,8,Wells Fargo Championship
